Username,link,Type,Status,Script ,Account,Notes,,,reply rate ,%
marine__ptrr,https://www.instagram.com/marine__ptrr?igsh=MTJoeXZ4OWRzdGhmNg==,small creator ,Sent,Script 2,alexxisalmc,,,,,
elisa____amr,https://www.instagram.com/elisa____amr?igsh=b3k5cHEza3loanI2,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
rsllvsn,https://www.instagram.com/rsllvsn?igsh=M2h4NXhheDliMG0x,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
morgane_gas,https://www.instagram.com/morgane_gas?igsh=Mm1yYWF6YnRseXM3,small creator ,Sent,Script 2,alexxisalmc,,,,,
thalya.lsn,https://www.instagram.com/thalya.lsn?igsh=MWJrODh1aGllbTZxZw==,small creator ,Sent,Script 2,alexxisalmc,,,,,
caaarla_56,https://www.instagram.com/caaarla_56?igsh=MWtvZHFpN2lzN2s3OA==,small creator ,Sent,Script 2,alexxisalmc,,,,,
emma_lzo,https://www.instagram.com/emma_lzo?igsh=NGtwaXhveTlvenJv,small creator ,Sent,Script 2,alexxisalmc,,,,,
sarah_capello,https://www.instagram.com/sarah_capello?igsh=MW05bTN0cmdudnVhZg==,small creator ,Sent,Script 2,alexxisalmc,,,,,
jo_bct,https://www.instagram.com/jo_bct?igsh=MWsyM3dhODBsaDlvdg==,small creator ,Sent,Script 2,alexxisalmc,,,,,
amandinefdrk,https://www.instagram.com/amandinefdrk?igsh=MTF4NmNjNTdjYnVrZQ==,small creator ,Sent,Script 2,alexxisalmc,,,,,
elo.bgnt,https://www.instagram.com/elo.bgnt?igsh=Nm5jMzNxN3VjdnY1,small creator ,Sent,Script 2,alexxisalmc,,,,,
an.sk_0,https://www.instagram.com/an.sk_0?igsh=MWluZHZwanhuaG9idg==,small creator ,Sent,Script 2,alexxisalmc,,,,,
anais__clvr,https://www.instagram.com/anais__clvr?igsh=MTZ6czV1NTBjdWM2aA==,small creator ,Sent,Script 2,alexxisalmc,,,,,
noemiee.dc,https://www.instagram.com/noemiee.dc?igsh=MWo1bW92NXk0aG95Nw==,small creator ,Sent,Script 2,alexxisalmc,,,,,
clemence_trss,https://www.instagram.com/clemence_trss?igsh=dDd1Y2lveWllYXlo,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
elisa_.svg,https://www.instagram.com/elisa_.svg?igsh=MWc1czkzdDQzNmJ2Zg==,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
